,year,team_name,ball_possession
299,2019,1.FC Union Berlin,40.6
300,2019,1.FSV Mainz 05,41.2
301,2019,FC Augsburg,38.5
302,2019,Fortuna Düsseldorf,48.8
303,2019,Borussia Dortmund,60.1
304,2019,Borussia Mönchengladbach,52.9
305,2019,TSG 1899 Hoffenheim,50.6
306,2019,SC Freiburg,49.2
307,2019,Hertha BSC,45.4
308,2019,FC Schalke 04,48.6
309,2019,1.FC Köln,45.5
310,2019,SV Werder Bremen,48.5
311,2019,SC Paderborn 07,46.2
312,2020,Bayern Munich,61.2
313,2020,Borussia Dortmund,59.5
314,2020,Eintracht Frankfurt,54.0
315,2020,1.FC Union Berlin,44.3
316,2020,VfB Stuttgart,51.7
317,2020,TSG 1899 Hoffenheim,51.0
318,2020,FC Augsburg,41.1
319,2020,Arminia Bielefeld,42.2
320,2020,SV Werder Bremen,43.7
321,2020,RB Leipzig,59.9
322,2020,VfL Wolfsburg,51.1
323,2020,Bayer 04 Leverkusen,60.1
324,2020,Borussia Mönchengladbach,52.1
325,2020,SC Freiburg,47.5
326,2020,1.FSV Mainz 05,40.3
327,2020,Hertha BSC,49.4
328,2020,1.FC Köln,46.3
329,2020,FC Schalke 04,44.9
330,2021,Bayern Munich,64.8
331,2021,Bayer 04 Leverkusen,54.2
332,2021,1.FC Union Berlin,43.5
333,2021,1.FC Köln,55.0
334,2021,TSG 1899 Hoffenheim,53.5
335,2021,Eintracht Frankfurt,49.5
336,2021,VfL Bochum,44.8
337,2021,VfB Stuttgart,50.7
338,2021,Arminia Bielefeld,40.5
339,2021,Borussia Dortmund,58.9
340,2021,RB Leipzig,56.5
341,2021,SC Freiburg,50.0
342,2021,1.FSV Mainz 05,45.9
343,2021,Borussia Mönchengladbach,54.1
344,2021,VfL Wolfsburg,50.3
345,2021,FC Augsburg,41.2
346,2021,Hertha BSC,43.5
347,2021,SpVgg Greuther Fürth,42.7
348,2015,Juventus FC,9.9
349,2015,AS Roma,9.9
350,2015,ACF Fiorentina,9.9
351,2015,AC Milan,9.9
352,2015,Chievo Verona,9.9
353,2015,FC Empoli,9.9
354,2015,Atalanta BC,9.9
355,2015,UC Sampdoria,9.9
356,2015,Palermo FC,9.9
357,2015,Frosinone Calcio,9.9
358,2015,SSC Napoli,9.9
359,2015,Inter Milan,9.9
360,2015,US Sassuolo,9.9
361,2015,SS Lazio,9.9
362,2015,Genoa CFC,9.9
363,2015,Torino FC,9.9
364,2015,Bologna FC 1909,9.9
365,2015,Udinese Calcio,9.9
366,2015,AC Carpi,9.9
367,2015,Hellas Verona,9.9
368,2016,Juventus FC,9.6
369,2016,SSC Napoli,9.6
370,2016,SS Lazio,9.9
371,2016,Inter Milan,9.9
372,2016,Torino FC,9.9
373,2016,Cagliari Calcio,9.9
374,2016,Udinese Calcio,9.9
375,2016,Bologna FC 1909,9.9
376,2016,FC Crotone,9.9
377,2016,Palermo FC,9.9
378,2016,AS Roma,9.9
379,2016,Atalanta BC,9.8
380,2016,AC Milan,9.9
381,2016,ACF Fiorentina,9.9
382,2016,UC Sampdoria,9.9
383,2016,US Sassuolo,9.9
384,2016,Chievo Verona,9.9
385,2016,Genoa CFC,9.9
386,2016,FC Empoli,9.9
387,2016,Delfino Pescara 1936,9.9
388,2017,Juventus FC,9.9
389,2017,AS Roma,9.9
390,2017,SS Lazio,9.9
391,2017,Atalanta BC,9.9
392,2017,UC Sampdoria,9.9
393,2017,US Sassuolo,9.9
394,2017,Chievo Verona,9.9
395,2017,Cagliari Calcio,9.9
396,2017,SPAL,9.9
397,2017,Hellas Verona,9.9
398,2017,SSC Napoli,9.9
399,2017,Inter Milan,9.9
400,2017,AC Milan,9.9
401,2017,ACF Fiorentina,9.6
402,2017,Torino FC,9.6
403,2017,Genoa CFC,9.9
404,2017,Udinese Calcio,9.9
405,2017,Bologna FC 1909,9.9
406,2017,FC Crotone,9.9
407,2017,Benevento Calcio,9.4
408,2019,Juventus FC,57.5
409,2019,Atalanta BC,58.9
410,2019,AS Roma,53.9
411,2019,SSC Napoli,60.1
412,2019,Hellas Verona,51.2
413,2019,Parma Calcio 1913,43.4
414,2019,Udinese Calcio,44.8
415,2019,UC Sampdoria,42.3
416,2019,Genoa CFC,47.4
417,2019,Brescia Calcio,39.9
418,2019,Inter Milan,54.9
419,2019,SS Lazio,49.0
420,2019,AC Milan,54.7
421,2019,US Sassuolo,59.4
422,2019,ACF Fiorentina,46.7
423,2019,Bologna FC 1909,52.1
424,2019,Cagliari Calcio,44.3
425,2019,Torino FC,47.5
426,2019,US Lecce,44.8
427,2019,SPAL,47.5
428,2020,Inter Milan,52.3
429,2020,Atalanta BC,54.7
430,2020,SSC Napoli,55.1
431,2020,AS Roma,52.6
432,2020,UC Sampdoria,45.1
433,2020,Genoa CFC,44.5
434,2020,Udinese Calcio,46.1
435,2020,Spezia Calcio,52.2
436,2020,Torino FC,47.3
437,2020,FC Crotone,46.2
438,2020,AC Milan,51.9
439,2020,Juventus FC,57.1
440,2020,SS Lazio,53.1
441,2020,US Sassuolo,60.8
442,2020,Hellas Verona,49.4
443,2020,Bologna FC 1909,50.8
444,2020,ACF Fiorentina,46.1
445,2020,Cagliari Calcio,44.5
446,2020,Benevento Calcio,42.3
447,2020,Parma Calcio 1913,47.6
448,2021,AC Milan,54.4
449,2021,SSC Napoli,58.4
450,2021,SS Lazio,55.6
451,2021,ACF Fiorentina,57.6
452,2021,Hellas Verona,51.5
453,2021,US Sassuolo,54.9
454,2021,Bologna FC 1909,50.9
455,2021,UC Sampdoria,45.9
456,2021,US Salernitana 1919,40.4
457,2021,Genoa CFC,43.9
458,2021,Inter Milan,56.6
459,2021,Juventus FC,51.3
460,2021,AS Roma,51.0
461,2021,Atalanta BC,55.1
462,2021,Torino FC,53.8
463,2021,Udinese Calcio,42.3
464,2021,FC Empoli,47.1
465,2021,Spezia Calcio,43.1
466,2021,Cagliari Calcio,44.5
467,2021,Venezia FC,41.9
468,2015,Paris Saint-Germain,9.9
469,2015,AS Monaco,9.9
470,2015,LOSC Lille,9.9
471,2015,SM Caen,9.9
472,2015,Angers SCO,9.9
473,2015,FC Girondins Bordeaux,9.9
474,2015,Olympique Marseille,9.9
475,2015,FC Lorient,9.9
476,2015,FC Toulouse,9.9
477,2015,GFC Ajaccio,9.9
478,2015,Olympique Lyon,9.9
479,2015,OGC Nice,9.9
480,2015,AS Saint-Étienne,9.9
481,2015,Stade Rennais FC,9.9
482,2015,SC Bastia,9.9
483,2015,Montpellier HSC,9.9
484,2015,FC Nantes,9.9
485,2015,EA Guingamp,9.9
486,2015,Stade Reims,9.9
487,2015,ESTAC Troyes,9.9
488,2016,AS Monaco,9.9
489,2016,OGC Nice,9.9
490,2016,Olympique Marseille,9.9
491,2016,FC Nantes,9.9
492,2016,Stade Rennais FC,9.9
493,2016,LOSC Lille,9.9
494,2016,FC Toulouse,9.9
495,2016,Montpellier HSC,9.9
496,2016,SM Caen,9.9
497,2016,AS Nancy-Lorraine,9.9
498,2016,Paris Saint-Germain,9.9
499,2016,Olympique Lyon,9.9
500,2016,FC Girondins Bordeaux,9.9
501,2016,AS Saint-Étienne,9.9
502,2016,EA Guingamp,9.9
503,2016,Angers SCO,9.9
504,2016,FC Metz,9.9
505,2016,Dijon FCO,9.9
506,2016,FC Lorient,9.9
507,2016,SC Bastia,9.9
508,2017,Paris Saint-Germain,9.9
509,2017,Olympique Lyon,9.9
510,2017,Stade Rennais FC,9.9
511,2017,AS Saint-Étienne,9.9
512,2017,FC Nantes,9.9
513,2017,Dijon FCO,9.9
514,2017,Amiens SC,9.9
515,2017,RC Strasbourg Alsace,9.9
516,2017,LOSC Lille,9.9
517,2017,ESTAC Troyes,9.9
518,2017,AS Monaco,9.9
519,2017,Olympique Marseille,9.9
520,2017,FC Girondins Bordeaux,9.9
521,2017,OGC Nice,9.9
522,2017,Montpellier HSC,9.9
523,2017,EA Guingamp,9.9
