palyer_id,game_id,team_id,goals
111630,2577996,148,1
111630,2578275,148,1
111630,2578218,148,1
111630,2578274,148,1
59631,2577890,148,1
59631,2578114,148,1
59631,2578153,148,1
11111,2578032,29,1
11111,2578106,29,1
11111,2578166,29,1
11111,2578226,29,1
13507,2578245,29,1
13507,2578267,29,1
68390,2578129,29,1
131978,2577865,29,1
131978,2577884,29,1
131978,2578002,29,1
131978,2578042,29,2
131978,2578032,29,1
131978,2578125,29,2
73484,2578090,29,1
73484,2578245,29,1
45333,2578215,29,1
45333,2578267,29,1
12763,2577950,1123,3
12763,2578110,1123,1
33639,2578068,29,1
33639,2578106,29,1
14221,2578229,29,1
14221,2578125,29,1
33639,2578260,29,1
14221,2578129,29,1
33639,2578267,29,1
14221,2578166,29,1
14221,2578169,29,1
96341,2577884,29,2
96341,2577986,29,2
96341,2577989,29,1
96341,2578009,29,1
96341,2578023,29,1
96341,2578042,29,2
96341,2578032,29,1
96341,2578048,29,1
96341,2578069,29,1
96341,2578068,29,1
96341,2578227,29,2
96341,2578129,29,1
96341,2578166,29,1
96341,2578169,29,1
8552,2577865,29,1
8552,2577986,29,1
8552,2578009,29,3
129476,2578009,29,1
129476,2578227,29,1
139208,2577976,180,1
139208,2577983,180,1
139208,2578168,180,1
33829,2577983,180,1
33829,2578083,180,1
81789,2578132,180,1
91251,2578083,180,1
40611,2578272,180,1
77760,2578208,180,1
66100,2578049,180,1
181579,2578100,180,2
200512,2577976,180,1
200512,2577975,180,1
200512,2578000,180,1
200512,2578196,180,2
200512,2578226,180,1
200512,2578278,180,1
200512,2578285,180,3
200512,2578272,180,1
28973,2577975,180,1
28973,2578017,180,1
28973,2578286,180,2
28973,2578272,180,1
36139,2577943,180,2
36139,2577976,180,1
36139,2578027,180,1
36139,2578098,180,1
36139,2578100,180,1
36139,2578278,180,2
183318,2578113,762,1
183318,2578244,762,1
60744,2577962,762,1
60744,2578274,762,1
170321,2578092,762,1
49499,2577859,762,1
49499,2577967,762,1
49499,2577995,762,4
49499,2578056,762,1
49499,2578092,762,1
49499,2578101,762,1
49499,2578274,762,2
30670,2578150,762,1
