player_id,team_id,game_id,yellow_card,second_yellow_card,red_card
45333,29,2577989,65',,
45333,29,2578023,34',,
42413,29,2578226,42',,
42413,29,2578245,62',,
42413,29,2578260,71',,
45333,29,2578215,43',,
45333,29,2578263,16',52',
12763,1123,2577986,64',,
12763,1123,2578149,33',,
12763,1123,2578154,48',,
33639,29,2577973,,,90 + 4'
33639,29,2578169,16',34',
14221,29,2578142,42',,
96341,29,2577989,90 + 1',,
96341,29,2577984,70',,
96341,29,2578166,44',,
8552,29,2577986,76',,
129476,29,2578009,54',,
129476,29,2578227,40',,
139208,180,2577966,73',,
139208,180,2578168,31',,
33829,180,2577859,60',,
33829,180,2577966,78',,
33829,180,2577976,83',,
33829,180,2578082,40',,
33829,180,2578168,,,79'
91251,180,2578276,52',,
250478,36546,2577884,6',,
112988,180,2577859,12',,
112988,180,2578098,24',,
112988,180,2578116,61',,
40611,180,2577975,26',,
40611,180,2577983,76',,
40611,180,2578027,74',,
40611,180,2578276,66',,
40611,180,2578148,64',,
40611,180,2578168,8',,
77760,180,2577901,28',,
77760,180,2577976,43',,
77760,180,2577983,22',,
77760,180,2578017,21',78',
77760,180,2578220,35',73',
77760,180,2578132,,,54'
77760,180,2578198,46',,
66100,180,2577884,49',,
66100,180,2577901,57',,
66100,180,2577976,81',,
66100,180,2577975,9',,
66100,180,2578276,55',,
66100,180,2578137,32',,
66100,180,2578286,74',,
181579,180,2577975,77',,
181579,180,2578029,77',,
181579,180,2578041,55',,
181579,180,2578049,30',,
181579,180,2578137,90',,
104223,180,2578132,83',,
104223,180,2578137,63',,
104223,180,2578148,65',,
104223,180,2578180,47',,
104223,180,2578285,30',,
200512,180,2577975,34',,
200512,180,2578000,90 + 1',90 + 4',
200512,180,2578027,11',,
200512,180,2578180,,,90 + 1'
200512,180,2578196,86',,
200512,180,2578286,50',,
28973,180,2577859,87',,
28973,180,2577884,77',,
28973,180,2578148,19',,
28973,180,2578180,90 + 3',,
36139,180,2578198,75',,
36139,180,2578285,54',,
53360,180,2578226,84',,
17273,4291,2578135,19',,
183318,762,2578125,88',,90 + 3'
170929,9253,2577899,20',,
60744,762,2577883,17',41',
60744,762,2577954,57',,
60744,762,2578024,44',,
60744,762,2578090,11',,
60744,762,2578266,68',,
60744,762,2578194,36',,
170321,762,2578035,48',,
170321,762,2578079,41',,
170321,762,2578261,90 + 6',,
49499,762,2577946,49',,
30670,762,2577946,48',,
30670,762,2577987,36',,
30670,762,2578035,36',,
30670,762,2578056,60',,
30670,762,2578244,73',,
30670,762,2578150,43',,
61644,762,2577859,55',,
61644,762,2577954,30',,
61644,762,2577962,89',,
61644,762,2577967,33',,
61644,762,2578019,45 + 3',,
33478,762,2577995,6',,
33478,762,2578019,14',,
33478,762,2578024,88',,
61644,762,2578056,33',,
61644,762,2578074,30',,
61644,762,2578090,82',,
61644,762,2578266,35',,
33478,762,2578092,35',,
61644,762,2578194,18',,
61644,762,2578265,66',,
33478,762,2578273,22',,
46001,762,2577946,3',,
46001,762,2578035,79',,
46001,762,2578150,90 + 5',,
71292,762,2577858,18',,
71292,762,2577944,80',,
71292,762,2577976,76',,
71292,762,2578007,56',,
71292,762,2578028,87',,
71292,762,2578125,61',,
71292,762,2578135,61',,
71292,762,2578194,52',,
51540,762,2586809,33',77',
51540,762,2586938,45',,
51540,762,2586985,78',,
51540,762,2587017,17',,
258188,762,2578274,86',,
184892,244,2577946,26',,
43261,762,2577899,57',,
184892,244,2609704,,,69'
246968,762,2578035,76',,
246968,762,2578074,80',,
246968,762,2578179,56',,
246968,762,2578150,56',,
51152,762,2577859,75',,
51152,762,2577883,84',,
51152,762,2577946,,,16'
51152,762,2578015,63',,
51152,762,2578194,84',,
51152,762,2578274,,,67'
33952,3182,2578056,63',,
16911,1003,2578012,90 + 3',,
16911,1003,2578183,30',,
2998,1003,2577939,48',,
2998,1003,2577979,63',,
2998,1003,2578012,89',,
2998,1003,2578035,31',,
2998,1003,2578065,50',,
2998,1003,2578077,62',,
2998,1003,2578095,76',,
2998,1003,2578280,81',,
10003,1003,2578141,36',,
10003,1003,2578172,90 + 2',,
10003,1003,2578235,77',,
50477,1003,2577891,88',,
16947,1003,2578068,81',,
16947,1003,2578144,90 + 4',,
55687,641,2577939,13',,
225083,1003,2577964,60',,
225083,1003,2578054,23',,
225083,1003,2578144,57',,
73491,1003,2577964,77',,
73491,1003,2577971,72',,
37442,1003,2578005,65',,
37442,1003,2578054,70',,
73491,1003,2578198,51',,
37442,1003,2578141,46',,
37442,1003,2578144,49',54',
73491,1003,2578283,58',86',
56872,1003,2577902,90 + 1',,
56872,1003,2577939,35',,
157506,1003,2577861,90',,
157506,1003,2577939,90 + 1',,
157506,1003,2577964,80',,
157506,1003,2578005,67',,
61560,1003,2577955,45 + 1',,
61560,1003,2578054,90 + 1',,
61560,1003,2578230,81',,
61560,1003,2578222,62',,
171424,1003,2577964,58',,
197838,1003,2577861,49',,
197838,1003,2577891,11',,
79642,1003,2577891,54',,
197838,1003,2578005,90',,
197838,1003,2578065,46',,
197838,1003,2578095,85',,
197838,1003,2578235,28',56',
37011,1003,2577955,77',,
3146,512,2578252,90 + 4',,
45861,512,2578036,57',,
45861,512,2578046,42',47',
45861,512,2578217,82',,
43763,512,2577897,85',,
43763,512,2577941,66',,
