agent_id,agent_name,player_id,season
4173,SMI Sports ...,128904,2016
4173,SMI Sports ...,78966,2016
1406,YOU FIRST,64598,2016
440,Wasserman,314140,2016
4142,Unique Sports Group,16660,2016
4357,LIFEPRO,61891,2016
1406,YOU FIRST,32522,2016
641,YMU Group,73067,2016
586,SEG,133179,2016
440,Wasserman,121257,2016
440,Wasserman,4063,2016
413,Gestifute,204103,2016
641,YMU Group,48950,2016
7515,Niagara Sports ...,18644,2016
190,CAA Stellar,183334,2016
9029,Refuel Performance ...,13572,2016
4142,Unique Sports Group,121477,2016
1881,Sport Cover,157495,2017
4016,KIN Partners,53622,2017
440,Wasserman,50362,2017
413,Gestifute,241641,2017
13,LIAN Sports Group,192565,2017
6003,Eleven Talent Group,26399,2017
4611,Panthera Sports,128898,2017
3625,FSB – ...,86202,2017
4016,KIN Partners,196948,2017
13,LIAN Sports Group,112515,2017
440,Wasserman,131978,2017
7515,Niagara Sports ...,182618,2017
190,CAA Stellar,202886,2017
440,Wasserman,147034,2017
206,P&P Sport ...,176485,2017
2295,ROOF,59866,2017
13,LIAN Sports Group,216569,2017
1881,Sport Cover,179184,2017
7515,Niagara Sports ...,128223,2017
440,Wasserman,55247,2017
190,CAA Stellar,203026,2017
1,ROGON,85864,2017
2295,ROOF,331726,2017
2295,ROOF,37838,2017
440,Wasserman,256178,2017
440,Wasserman,145922,2017
190,CAA Stellar,293784,2017
2295,ROOF,85177,2017
79,ISM Int. Soccer ...,119296,2017
2295,ROOF,222813,2017
190,CAA Stellar,43530,2017
440,Wasserman,433188,2017
190,CAA Stellar,344015,2017
2295,ROOF,61651,2017
2295,ROOF,200512,2017
1,ROGON,131789,2017
190,CAA Stellar,264191,2017
190,CAA Stellar,90466,2017
4142,Unique Sports Group,503733,2017
440,Wasserman,33713,2017
2773,11WINS,306024,2017
3223,Soccer Mondial AG,184381,2017
2295,ROOF,406040,2017
440,Wasserman,199369,2017
4016,KIN Partners,388160,2017
206,P&P Sport ...,16911,2017
7867,VPA Sports,59032,2017
586,SEG,395797,2017
4695,Playeleven,50477,2017
190,CAA Stellar,316125,2017
1406,YOU FIRST,6636,2017
440,Wasserman,65467,2017
440,Wasserman,56872,2017
440,Wasserman,341501,2017
440,Wasserman,73522,2017
206,P&P Sport ...,292417,2017
440,Wasserman,398065,2017
440,Wasserman,197838,2017
190,CAA Stellar,52570,2017
190,CAA Stellar,163744,2017
586,SEG,253765,2017
2295,ROOF,139208,2017
969,Fabryka Futbolu,243028,2017
190,CAA Stellar,181579,2017
3223,Soccer Mondial AG,36139,2017
4142,Unique Sports Group,226973,2017
1881,Sport Cover,232271,2017
5078,ARETÉ,129078,2017
190,CAA Stellar,184672,2017
1973,BSP FOOTBALL AGENCY,112343,2017
2295,ROOF,37304,2017
4434,OmniSports,40204,2017
190,CAA Stellar,431422,2017
190,CAA Stellar,264220,2017
190,CAA Stellar,12691,2017
4142,Unique Sports Group,92571,2017
1881,Sport Cover,181380,2017
206,P&P Sport ...,149729,2017
206,P&P Sport ...,101213,2017
190,CAA Stellar,242606,2017
6670,Hernan Berman,135853,2017
440,Wasserman,45403,2017
1292,Solbakken / Player ...,234807,2017
4173,SMI Sports ...,22614,2017
7867,VPA Sports,349300,2017
4142,Unique Sports Group,104124,2017
190,CAA Stellar,48066,2017
190,CAA Stellar,45494,2017
440,Wasserman,183284,2017
4611,Panthera Sports,52119,2017
4142,Unique Sports Group,477758,2017
4434,OmniSports,78959,2017
440,Wasserman,47995,2017
4142,Unique Sports Group,157506,2017
7306,FPA,230746,2017
4142,Unique Sports Group,244130,2017
1881,Sport Cover,46791,2017
190,CAA Stellar,250426,2017
4142,Unique Sports Group,196522,2017
440,Wasserman,60744,2017
3223,Soccer Mondial AG,159692,2017
1,ROGON,148967,2017
4173,SMI Sports ...,347666,2017
190,CAA Stellar,3881,2017
4142,Unique Sports Group,211325,2017
3051,ESHA,86792,2017
440,Wasserman,48078,2017
9029,Refuel Performance ...,13572,2017
440,Wasserman,183298,2017
4142,Unique Sports Group,121477,2017
9732,Sport Yard,122980,2017
4434,OmniSports,494684,2017
2722,Universal Twenty Two,85475,2017
190,CAA Stellar,67421,2017
2252,HCM Sports ...,75890,2017
190,CAA Stellar,297212,2017
2252,HCM Sports ...,38073,2017
440,Wasserman,63342,2017
413,Gestifute,258027,2017
4434,OmniSports,214666,2017
10794,Simul Management,256652,2017
190,CAA Stellar,202984,2017
4142,Unique Sports Group,122223,2017
190,CAA Stellar,265471,2017
641,YMU Group,359693,2017
11091,Archana Mahabiersing,166240,2017
4142,Unique Sports Group,45693,2017
440,Wasserman,67211,2017
4142,Unique Sports Group,111073,2017
1061,World in Motion,427568,2017
440,Wasserman,15220,2017
440,Wasserman,177476,2017
440,Wasserman,293450,2017
440,Wasserman,253677,2017
4142,Unique Sports Group,90836,2017
190,CAA Stellar,61841,2017
440,Wasserman,175745,2017
190,CAA Stellar,249089,2017
4142,Unique Sports Group,29975,2017
440,Wasserman,562254,2017
440,Wasserman,146795,2017
4434,OmniSports,223047,2017
2295,ROOF,87672,2017
2907,Rispect Sports ...,103559,2018
413,Gestifute,241641,2018
4142,Unique Sports Group,484551,2018
440,Wasserman,345654,2018
13,LIAN Sports Group,192565,2018
1,ROGON,85864,2018
6003,Eleven Talent Group,26399,2018
440,Wasserman,55247,2018
190,CAA Stellar,340918,2018
2295,ROOF,139208,2018
440,Wasserman,256178,2018
2295,ROOF,37838,2018
2295,ROOF,85177,2018
440,Wasserman,485583,2018
413,Gestifute,225693,2018
2295,ROOF,302215,2018
2295,ROOF,222813,2018
190,CAA Stellar,43530,2018
2295,ROOF,61651,2018
3051,ESHA,86792,2018
440,Wasserman,433188,2018
190,CAA Stellar,344015,2018
2295,ROOF,200512,2018
1,ROGON,131789,2018
2295,ROOF,406560,2018
5041,AC Talent,192279,2018
4611,Panthera Sports,128898,2018
9355,AIS Football,465955,2018
190,CAA Stellar,396859,2018
3625,FSB – ...,86202,2018
4016,KIN Partners,196948,2018
8881,ISC,131708,2018
1817,Promoesport,245893,2018
4142,Unique Sports Group,392757,2018
13,LIAN Sports Group,112515,2018
728,SPOCS Global Sports,224884,2018
7515,Niagara Sports ...,182618,2018
440,Wasserman,131978,2018
7867,VPA Sports,51471,2018
190,CAA Stellar,202886,2018
440,Wasserman,147034,2018
2295,ROOF,59866,2018
206,P&P Sport ...,176485,2018
3417,INTERNATIONAL ...,222830,2018
7515,Niagara Sports ...,128223,2018
1881,Sport Cover,179184,2018
2295,ROOF,331726,2018
4126,A-GROUP,43250,2018
190,CAA Stellar,192765,2018
10793,TMUS Sports,406559,2018
190,CAA Stellar,249126,2018
440,Wasserman,258912,2018
5078,ARETÉ,406638,2018
4126,A-GROUP,19368,2018
4837,Goal Management,191217,2018
4142,Unique Sports Group,94005,2018
2295,ROOF,406040,2018
3223,Soccer Mondial AG,184381,2018
440,Wasserman,199369,2018
206,P&P Sport ...,16911,2018
190,CAA Stellar,203026,2018
2773,11WINS,306024,2018
440,Wasserman,320141,2018
7562,FutureBall,293168,2018
1061,World in Motion,271997,2018
190,CAA Stellar,316125,2018
1406,YOU FIRST,6636,2018
413,Gestifute,215876,2018
440,Wasserman,56872,2018
440,Wasserman,73522,2018
440,Wasserman,341501,2018
440,Wasserman,65467,2018
